id,sensorId,Type,coordinates.lat,coordinates.long,altitude,heading,speed,speedmetric,temp,observationTime,date2
871,2215783,truck,39.082524,-0.540801,36.0,12,85,KilometersPerHour,,2018-05-15T11:09:20.0000000Z,2018-05-31 11:09:20
872,2215722,truck,41.590268,2.262079,146.0,76,0,KilometersPerHour,,2018-05-15T11:09:20.0000000Z,2018-05-31 11:09:20
873,921534,truck,39.358655,-0.421275,25.0,112,0,KilometersPerHour,,2018-05-15T11:09:04.0000000Z,2018-05-31 11:09:04
874,921547,truck,39.358611,-0.421425,20.0,344,0,KilometersPerHour,11.0,2018-05-15T11:08:59.0000000Z,2018-05-31 11:08:59
875,921535,truck,39.474393,-0.353632,50.0,322,0,KilometersPerHour,,2018-05-15T11:09:19.0000000Z,2018-05-31 11:09:19
876,871563,truck,38.134251,-0.675984,62.0,182,27,KilometersPerHour,19.2,2018-05-15T11:09:07.0000000Z,2018-05-31 11:09:07
877,871566,truck,38.00483300000001,-1.309299,201.0,348,0,KilometersPerHour,15.7,2018-05-15T11:09:10.0000000Z,2018-05-31 11:09:10
878,2815144,truck,48.046402,5.571948,360.0,38,88,KilometersPerHour,,2018-05-15T11:09:26.0000000Z,2018-05-31 11:09:26
879,2115662,truck,43.174422,2.664234,104.0,272,89,KilometersPerHour,,2018-05-15T11:09:18.0000000Z,2018-05-31 11:09:18
880,2115668,truck,45.776663,4.979615,212.0,98,70,KilometersPerHour,,2018-05-15T11:09:28.0000000Z,2018-05-31 11:09:28
881,2115666,truck,48.342426,4.166112,150.0,352,89,KilometersPerHour,,2018-05-15T11:09:29.0000000Z,2018-05-31 11:09:29
882,1915450,truck,40.889022,-3.600251,1039.0,148,73,KilometersPerHour,,2018-05-15T11:09:19.0000000Z,2018-05-31 11:09:19
883,2115638,truck,44.028139,4.746357,52.0,236,88,KilometersPerHour,,2018-05-15T11:09:20.0000000Z,2018-05-31 11:09:20
884,1315070,car,42.873063,-1.74117,516.0,0,0,KilometersPerHour,,2018-05-15T11:09:12.0000000Z,2018-05-31 11:09:12
885,1215811,car,41.651904,2.161963,329.0,0,0,KilometersPerHour,,2018-05-15T11:09:21.0000000Z,2018-05-31 11:09:21
886,1315086,car,41.680671,-0.940188,206.0,304,87,KilometersPerHour,,2018-05-15T11:09:40.0000000Z,2018-05-31 11:09:40
887,1315108,car,42.002064,2.28006,477.0,0,0,KilometersPerHour,,2018-05-15T11:09:26.0000000Z,2018-05-31 11:09:26
888,1215818,car,41.43609,2.209298,9.0,342,59,KilometersPerHour,,2018-05-15T11:09:50.0000000Z,2018-05-31 11:09:50
889,4615974,truck,40.252104,-3.731815,611.0,144,0,KilometersPerHour,15.6,2018-05-15T11:09:08.0000000Z,2018-05-31 11:09:08
890,4615390,truck,50.086774,2.870649,128.0,6,90,KilometersPerHour,,2018-05-15T11:08:56.0000000Z,2018-05-31 11:08:56
891,4615397,truck,39.46034,-0.474112,54.0,312,0,KilometersPerHour,16.1,2018-05-15T11:09:10.0000000Z,2018-05-31 11:09:10
892,4615421,truck,39.472666,-0.5449609999999999,87.0,90,78,KilometersPerHour,-17.1,2018-05-15T11:09:29.0000000Z,2018-05-31 11:09:29
893,4615399,truck,41.717081,-1.017907,217.0,128,0,KilometersPerHour,,2018-05-15T11:08:58.0000000Z,2018-05-31 11:08:58
894,4615383,truck,45.173951,-0.336925,63.0,284,0,KilometersPerHour,-21.3,2018-05-15T11:09:38.0000000Z,2018-05-31 11:09:38
895,4615946,truck,40.747506,-3.030899,974.0,234,89,KilometersPerHour,,2018-05-15T11:09:12.0000000Z,2018-05-31 11:09:12
896,3815800,truck,38.520093,-0.210543,41.0,76,0,KilometersPerHour,9.2,2018-05-15T11:09:01.0000000Z,2018-05-31 11:09:01
897,3815771,truck,51.172106,0.873418,58.0,54,36,KilometersPerHour,,2018-05-15T11:09:29.0000000Z,2018-05-31 11:09:29
898,3915305,truck,42.473338,-2.648174,500.0,326,90,KilometersPerHour,,2018-05-15T11:08:54.0000000Z,2018-05-31 11:08:54
899,3915167,truck,39.809182,-0.215667,83.0,340,11,KilometersPerHour,,2018-05-15T11:09:43.0000000Z,2018-05-31 11:09:43
900,3915207,car,38.114099,-1.240448,163.0,332,90,KilometersPerHour,,2018-05-15T11:08:38.0000000Z,2018-05-31 11:08:38
901,3915285,truck,39.368979,-0.463774,47.0,74,55,KilometersPerHour,,2018-05-15T11:09:19.0000000Z,2018-05-31 11:09:19
902,651538,car,48.76075,2.340231,86.0,196,0,KilometersPerHour,,2018-05-15T11:09:27.0000000Z,2018-05-31 11:09:27
903,651524,car,39.275007,-0.460358,46.0,354,88,KilometersPerHour,6.6,2018-05-15T11:09:18.0000000Z,2018-05-31 11:09:18
904,651543,truck,41.618885,-0.951882,292.0,86,88,KilometersPerHour,,2018-05-15T11:09:38.0000000Z,2018-05-31 11:09:38
905,1615847,truck,39.086363,-1.964362,692.0,286,9,KilometersPerHour,,2018-05-15T11:09:11.0000000Z,2018-05-31 11:09:11
906,1915516,truck,42.145314,-1.785821,319.0,136,89,KilometersPerHour,,2018-05-15T11:09:28.0000000Z,2018-05-31 11:09:28
